Shop Name,Shop Type,Street Address,Locality,Contact No
Trader Joe's,Grocery StoresNatural Foods,675 Avenue Of The Americas,"New York, NY 10010",(212) 255-2106
Pathmark,Grocery StoresSupermarkets & Super Stores,160 E 125th St,"New York, NY 10035",(212) 722-9156
Whole Foods Market,Grocery StoresFruit & Vegetable MarketsHealth & Diet Food Products,270 Greenwich St,"New York, NY 10007",(212) 349-6555
Pioneer Supermarket,Grocery Stores,311 E 23rd St,"New York, NY 10010",(212) 689-9192
The Food Emporium,Grocery StoresSupermarkets & Super Stores,810 8th Ave,"New York, NY 10019",(212) 977-1710
Morton Williams Supermarkets,Grocery StoresFish & Seafood MarketsMeat Markets,908 2nd Ave,"New York, NY 10017",(212) 308-6922
Big Market,Grocery Stores,555 8th Ave,"New York, NY 10018",(888) 828-9465
Pioneer Supermarket,Grocery StoresSupermarkets & Super Stores,289 Columbus Ave,"New York, NY 10023",(212) 874-9506
Food City,Grocery StoresSupermarkets & Super Stores,705 Columbus Ave,"New York, NY 10025",(212) 222-6500
New Lung Hing Market Incorpora,Grocery Stores,51 E Broadway Frnt 5,"New York, NY 10002",(212) 374-9474
Tak Yee Fong Inc,Grocery Stores,106 Canal St,"New York, NY 10002",(212) 925-3898
Ammirati,Grocery Stores,584 Broadway Rm 808,"New York, NY 10012",(212) 925-2111
Central Market,Grocery StoresFlorists,4 South St,"New York, NY 10004",(212) 514-5220
D'agostino's,Grocery StoresOnline & Mail Order ShoppingSupermarkets & Super Stores,666 Greenwich St Frnt 1,"New York, NY 10014",(212) 463-7059
765 Sixth Avenue Market,Grocery StoresSupermarkets & Super Stores,765 Avenue Of The Americas,"New York, NY 10010",(212) 229-0301
Well Green Market,Grocery StoresSupermarkets & Super Stores,1413 Avenue Of The Americas,"New York, NY 10019",(212) 588-5888
Red Apple Supermarkets,Grocery Stores,1891 3rd Ave,"New York, NY 10029",(212) 580-6312
Lb Deli Grocery,Grocery StoresConvenience Stores,349 E 109th St,"New York, NY 10029",(212) 426-6081
Fine Fare Supermarket,Grocery StoresSupermarkets & Super Stores,1718 Madison Ave,"New York, NY 10029",(212) 360-7608
Manhattan Food Market,Grocery StoresSupermarkets & Super Stores,507 Manhattan Ave,"New York, NY 10027",(212) 663-2263
Urban Market,Grocery StoresSupermarkets & Super Stores,402 W 47th St,"New York, NY 10036",(646) 964-4633
Fine Fare Supermarket,Grocery StoresSupermarkets & Super Stores,2330 1st Ave,"New York, NY 10035",(212) 410-1640
Chang Shun Market Inc,Grocery StoresSupermarkets & Super Stores,57 E Broadway,"New York, NY 10002",(212) 349-8010
International Fine Fare Supermarkets,Grocery StoresSupermarkets & Super Stores,4776 Broadway,"New York, NY 10034",(212) 304-1858
Jubilee Marketplace,Grocery StoresSupermarkets & Super Stores,99 John St,"New York, NY 10038",(212) 233-0808
Aldi,Grocery StoresSupermarkets & Super StoresDiscount Stores,517 E 117th St,"New York, NY 10035",(855) 955-2534
Amish Market Tribeca,Grocery StoresGourmet ShopsWholesale Grocers,53 Park Pl,"New York, NY 10007",(212) 608-3863
Cinnamon,Grocery Stores,123 William St,"New York, NY 10038",(716) 828-2992
City Acres Market,Grocery StoresSupermarkets & Super Stores,70 Pine St,"New York, NY 10005",(917) 261-4530
Smith's Food & Drug,Grocery StoresSupermarkets & Super Stores,79 Macdougal St,"New York, NY 10012",(212) 260-0100
